AeroDyn airfoil file Created with QBlade CE v2.0.9.5_beta windows on 15.04.2026 at 11:36:24 Compatible with AeroDyn v13.0.
Polar "S1223_Re2.000_M0.00_N9.0 360 M" on Foil "S1223" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-10.12         Angle of attack for zero Cn for linear Cn curve (deg)
6.81285        Cn slope for zero lift for linear Cn curve (1/rad)
2.3829         Cn at stall value for positive angle of attack for linear Cn curve
-1.0631        Cn at stall value for negative angle of attack for linear Cn curve
-2.00          Angle of attack for minimum CD (deg)
0.0102         Minimum CD value
  -180.000 -0.297121  0.006001 -0.121781
  -179.000 -0.199089  0.006522 -0.081213
  -178.000 -0.101058  0.008080 -0.040947
  -177.000 -0.003026  0.010670 -0.000998
  -176.000  0.094919  0.014285  0.038586
  -175.000  0.189341  0.018916  0.076413
  -174.000  0.264279  0.024554  0.106146
  -173.000  0.294447  0.031188  0.117918
  -172.000  0.273994  0.038806  0.109763
  -171.000  0.229354  0.047394  0.092406
  -170.000  0.188357  0.056939  0.076852
  -169.000  0.160972  0.067425  0.066931
  -168.000  0.146015  0.078835  0.062099
  -167.000  0.139590  0.091153  0.060788
  -166.000  0.138293  0.104360  0.061657
  -165.000  0.139738  0.118436  0.063780
  -164.000  0.142362  0.133361  0.066565
  -163.000  0.145163  0.149113  0.069641
  -162.000  0.147499  0.165670  0.072783
  -161.000  0.148958  0.183009  0.075853
  -160.000  0.149279  0.201107  0.078776
  -159.000  0.148301  0.219937  0.081510
  -158.000  0.145929  0.239475  0.084043
  -157.000  0.142117  0.259694  0.086377
  -156.000  0.136851  0.280567  0.088528
  -155.000  0.130145  0.302067  0.090519
  -154.000  0.122030  0.324165  0.092378
  -153.000  0.112553  0.346833  0.094138
  -152.000  0.101774  0.370040  0.095836
  -151.000  0.089760  0.393758  0.097506
  -150.000  0.076589  0.417955  0.099187
  -149.000  0.062345  0.442600  0.100916
  -148.000  0.047116  0.467663  0.102730
  -147.000  0.030998  0.493112  0.104665
  -146.000  0.014088  0.518914  0.106755
  -145.000 -0.003513  0.545038  0.109034
  -144.000 -0.021700  0.571450  0.111532
  -143.000 -0.040367  0.598119  0.114278
  -142.000 -0.059408  0.625012  0.117299
  -141.000 -0.078713  0.652094  0.120616
  -140.000 -0.098175  0.679334  0.124252
  -139.000 -0.117684  0.706698  0.128224
  -138.000 -0.137133  0.734153  0.132547
  -137.000 -0.156416  0.761665  0.137231
  -136.000 -0.175426  0.789202  0.142284
  -135.000 -0.194062  0.816731  0.147712
  -134.000 -0.212223  0.844218  0.153515
  -133.000 -0.229810  0.871631  0.159692
  -132.000 -0.246730  0.898937  0.166237
  -131.000 -0.262893  0.926104  0.173141
  -130.000 -0.278210  0.953100  0.180392
  -129.000 -0.292601  0.979893  0.187976
  -128.000 -0.305987  1.006452  0.195874
  -127.000 -0.318297  1.032745  0.204066
  -126.000 -0.329462  1.058743  0.212527
  -125.000 -0.339422  1.084414  0.221232
  -124.000 -0.348121  1.109729  0.230152
  -123.000 -0.355508  1.134659  0.239256
  -122.000 -0.361541  1.159175  0.248512
  -121.000 -0.366181  1.183248  0.257884
  -120.000 -0.369398  1.206851  0.267338
  -119.000 -0.371168  1.229957  0.276835
  -118.000 -0.371472  1.252540  0.286338
  -117.000 -0.370300  1.274573  0.295807
  -116.000 -0.367647  1.296032  0.305203
  -115.000 -0.363515  1.316893  0.314486
  -114.000 -0.357914  1.337130  0.323616
  -113.000 -0.350857  1.356722  0.332554
  -112.000 -0.342368  1.375646  0.341260
  -111.000 -0.332474  1.393882  0.349696
  -110.000 -0.321208  1.411407  0.357825
  -109.000 -0.308611  1.428204  0.365610
  -108.000 -0.294729  1.444252  0.373017
  -107.000 -0.279612  1.459533  0.380012
  -106.000 -0.269142  1.474031  0.386103
  -105.000 -0.251912  1.487729  0.392201
  -104.000 -0.233640  1.500611  0.397801
  -103.000 -0.214398  1.512664  0.402877
  -102.000 -0.194261  1.523873  0.407409
  -101.000 -0.173308  1.534227  0.411376
  -100.000 -0.151619  1.543713  0.414760
   -99.000 -0.129281  1.552320  0.417549
   -98.000 -0.106380  1.560040  0.419730
   -97.000 -0.083007  1.566862  0.421295
   -96.000 -0.059254  1.572781  0.422238
   -95.000 -0.035212  1.577787  0.422557
   -94.000 -0.010978  1.581877  0.422251
   -93.000  0.013356  1.585045  0.421323
   -92.000  0.037693  1.587287  0.419780
   -91.000  0.061939  1.588601  0.417630
   -90.000  0.085999  1.588984  0.414884
   -89.000  0.109780  1.588437  0.411555
   -88.000  0.133190  1.586959  0.407661
   -87.000  0.156138  1.584551  0.403219
   -86.000  0.178536  1.581217  0.398251
   -85.000  0.200298  1.576958  0.392779
   -84.000  0.221341  1.571780  0.386829
   -83.000  0.241583  1.565687  0.380426
   -82.000  0.260948  1.558686  0.373599
   -81.000  0.279363  1.550784  0.366377
   -80.000  0.296758  1.541989  0.358792
   -79.000  0.313067  1.532310  0.350874
   -78.000  0.328229  1.521757  0.342658
   -77.000  0.342186  1.510342  0.334175
   -76.000  0.354888  1.498075  0.325460
   -75.000  0.366287  1.484970  0.316547
   -74.000  0.376339  1.471040  0.307470
   -73.000  0.385008  1.456300  0.298262
   -72.000  0.392262  1.440765  0.288959
   -71.000  0.398072  1.424451  0.279593
   -70.000  0.402417  1.407375  0.270197
   -69.000  0.405279  1.389555  0.260803
   -68.000  0.406646  1.371008  0.251442
   -67.000  0.406511  1.351755  0.242146
   -66.000  0.404871  1.331814  0.232941
   -65.000  0.401729  1.311206  0.223858
   -64.000  0.397090  1.289952  0.214922
   -63.000  0.390966  1.268073  0.206158
   -62.000  0.383370  1.245591  0.197590
   -61.000  0.374322  1.222529  0.189240
   -60.000  0.363841  1.198909  0.181130
   -59.000  0.351952  1.174754  0.173277
   -58.000  0.338680  1.150087  0.165700
   -57.000  0.324055  1.124932  0.158415
   -56.000  0.308104  1.099311  0.151436
   -55.000  0.290856  1.073249  0.144777
   -54.000  0.272341  1.046769  0.138449
   -53.000  0.252585  1.019892  0.132462
   -52.000  0.231614  0.992642  0.126827
   -51.000  0.209448  0.965040  0.121552
   -50.000  0.186104  0.937106  0.116645
   -49.000  0.161592  0.908862  0.112113
   -48.000  0.135913  0.880324  0.107963
   -47.000  0.109059  0.851510  0.104203
   -46.000  0.081007  0.822435  0.100840
   -45.000  0.051723  0.793110  0.097883
   -44.000  0.021152  0.763546  0.095342
   -43.000 -0.010782  0.733748  0.093227
   -42.000 -0.044181  0.703720  0.091553
   -41.000 -0.079174  0.673459  0.090336
   -40.000 -0.115923  0.642958  0.089598
   -39.000 -0.154631  0.612204  0.089361
   -38.000 -0.195537  0.581178  0.089655
   -37.000 -0.238927  0.549855  0.090515
   -36.000 -0.285124  0.518204  0.091978
   -35.000 -0.334491  0.486188  0.094089
   -34.000 -0.387411  0.453768  0.096893
   -33.000 -0.444257  0.420909  0.100433
   -32.000 -0.505348  0.387583  0.104745
   -31.000 -0.570863  0.353787  0.109846
   -30.000 -0.640727  0.319559  0.115719
   -29.000 -0.714433  0.285005  0.122289
   -28.000 -0.790831  0.250333  0.129395
   -27.000 -0.867876  0.215890  0.136759
   -26.000 -0.942414  0.182191  0.143956
   -25.000 -1.010111  0.149933  0.150403
   -24.000 -1.065658  0.119949  0.155394
   -23.000 -1.103377  0.093117  0.137828
   -22.000 -1.118212  0.070201  0.120261
   -21.000 -1.106841  0.051680  0.102695
   -20.000 -1.068510  0.037622  0.085129
   -19.000 -1.005177  0.027673  0.067563
   -18.000 -0.920916  0.021152  0.049996
   -17.000 -0.820848  0.017227  0.032430
   -16.000 -0.710052  0.015079  0.014864
   -15.000 -0.592791  0.014022 -0.002702
   -14.000 -0.472164  0.013552 -0.020269
   -13.000 -0.350113  0.013346 -0.037835
   -12.000 -0.227636  0.013229 -0.055401
   -11.000 -0.105097  0.013126 -0.072967
   -10.000  0.017442  0.013024 -0.090534
    -9.000  0.127100  0.099300 -0.108100
    -8.000  0.222100  0.083500 -0.129500
    -6.000  0.449200  0.012200 -0.258000
    -3.000  0.867700  0.010200 -0.276000
    -2.000  0.994800  0.010160 -0.278800
    -1.000  1.120300  0.010180 -0.281100
     1.000  1.367400  0.010440 -0.285200
     2.000  1.478000  0.010830 -0.284300
     3.000  1.586600  0.011350 -0.283200
     4.000  1.694500  0.011840 -0.282000
     5.000  1.801800  0.012400 -0.280900
     6.000  1.912200  0.013100 -0.280600
     7.000  2.006500  0.013640 -0.276900
