AeroDyn airfoil file Created with QBlade CE v2.0.9.5_beta windows on 15.04.2026 at 11:36:24 Compatible with AeroDyn v13.0.
Polar "S1223_Re3.500_M0.00_N9.0 360 M" on Foil "S1223" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-10.18         Angle of attack for zero Cn for linear Cn curve (deg)
6.88240        Cn slope for zero lift for linear Cn curve (1/rad)
2.4170         Cn at stall value for positive angle of attack for linear Cn curve
-0.5240        Cn at stall value for negative angle of attack for linear Cn curve
-4.00          Angle of attack for minimum CD (deg)
0.0090         Minimum CD value
  -180.000 -0.300372  0.006006 -0.123114
  -179.000 -0.200916  0.006527 -0.081958
  -178.000 -0.101460  0.008085 -0.041110
  -177.000 -0.002005  0.010674 -0.000584
  -176.000  0.097444  0.014289  0.039601
  -175.000  0.195207  0.018919  0.078760
  -174.000  0.278453  0.024556  0.111784
  -173.000  0.319849  0.031188  0.127960
  -172.000  0.304153  0.038803  0.121609
  -171.000  0.254573  0.047390  0.102245
  -170.000  0.205141  0.056932  0.083353
  -169.000  0.170662  0.067415  0.070656
  -168.000  0.150894  0.078823  0.063959
  -167.000  0.141406  0.091137  0.061474
  -166.000  0.138149  0.104340  0.061601
  -165.000  0.138286  0.118411  0.063237
  -164.000  0.139979  0.133331  0.065683
  -163.000  0.142064  0.149078  0.068506
  -162.000  0.143805  0.165630  0.071442
  -161.000  0.144734  0.182963  0.074336
  -160.000  0.144558  0.201054  0.077097
  -159.000  0.143094  0.219877  0.079678
  -158.000  0.140237  0.239407  0.082062
  -157.000  0.135932  0.259618  0.084249
  -156.000  0.130163  0.280482  0.086253
  -155.000  0.122940  0.301973  0.088097
  -154.000  0.114294  0.324061  0.089810
  -153.000  0.104274  0.346717  0.091425
  -152.000  0.092937  0.369913  0.092977
  -151.000  0.080355  0.393619  0.094504
  -150.000  0.066607  0.417803  0.096045
  -149.000  0.051777  0.442434  0.097637
  -148.000  0.035957  0.467483  0.099318
  -147.000  0.019244  0.492916  0.101125
  -146.000  0.001738  0.518702  0.103093
  -145.000 -0.016456  0.544809  0.105256
  -144.000 -0.035234  0.571204  0.107645
  -143.000 -0.054485  0.597854  0.110291
  -142.000 -0.074100  0.624727  0.113220
  -141.000 -0.093968  0.651789  0.116455
  -140.000 -0.113978  0.679007  0.120019
  -139.000 -0.134018  0.706348  0.123928
