AeroDyn airfoil file Created with QBlade CE v2.0.9.5_beta windows on 15.04.2026 at 11:36:24 Compatible with AeroDyn v13.0.
Polar "S1223_Re3.000_M0.00_N9.0 360 M" on Foil "S1223" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-9.98          Angle of attack for zero Cn for linear Cn curve (deg)
7.22725        Cn slope for zero lift for linear Cn curve (1/rad)
2.4064         Cn at stall value for positive angle of attack for linear Cn curve
-0.3793        Cn at stall value for negative angle of attack for linear Cn curve
-4.00          Angle of attack for minimum CD (deg)
0.0093         Minimum CD value
   -47.000  0.202865  0.866300  0.094102
   -46.000  0.182232  0.838602  0.089786
   -45.000  0.161281  0.810813  0.085756
   -44.000  0.140091  0.782964  0.082005
   -43.000  0.118742  0.755089  0.078522
   -42.000  0.097314  0.727217  0.075299
   -41.000  0.075885  0.699380  0.072323
   -40.000  0.054531  0.671611  0.069583
   -39.000  0.033328  0.643939  0.067067
   -38.000  0.012349  0.616395  0.064761
   -37.000 -0.008337  0.589012  0.062653
   -36.000 -0.028660  0.561818  0.060730
   -35.000 -0.048559  0.534845  0.058978
   -34.000 -0.067970  0.508121  0.057383
   -33.000 -0.086837  0.481675  0.055932
   -32.000 -0.105105  0.455538  0.054613
   -31.000 -0.122725  0.429736  0.053411
   -30.000 -0.139648  0.404298  0.052314
   -29.000 -0.155828  0.379250  0.051310
   -28.000 -0.171219  0.354619  0.050386
   -27.000 -0.185775  0.330433  0.049527
   -26.000 -0.199441  0.306716  0.048722
   -25.000 -0.212155  0.283497  0.047954
   -24.000 -0.223835  0.260802  0.047206
   -23.000 -0.234370  0.238660  0.046456
   -22.000 -0.243605  0.217103  0.026046
   -21.000 -0.251322  0.196166  0.005636
   -20.000 -0.257208  0.175892 -0.014775
   -19.000 -0.260819  0.156330 -0.035185
   -18.000 -0.261534  0.137543 -0.055596
   -17.000 -0.258498  0.119613 -0.076006
   -16.000 -0.250558  0.102639 -0.096417
   -15.000 -0.236214  0.086748 -0.116827
   -14.000 -0.213599  0.072091 -0.137237
   -13.000 -0.180527  0.058842 -0.157648
   -12.000 -0.134669  0.047180 -0.178058
   -11.000 -0.073879  0.037269 -0.198469
   -10.000  0.003328  0.029215 -0.218879
    -9.000  0.097254  0.025339 -0.239290
    -8.000  0.232500  0.011300 -0.259700
    -7.000  0.367000  0.010710 -0.266300
    -6.000  0.502500  0.010160 -0.271400
    -5.000  0.640400  0.009590 -0.276900
    -4.000  0.772800  0.009290 -0.280800
    -3.000  0.895100  0.009320 -0.282300
    -1.000  1.140400  0.009400 -0.285500
     0.000  1.258900  0.009580 -0.286300
     1.000  1.385000  0.009630 -0.289000
     2.000  1.496400  0.009960 -0.288300
     3.000  1.605300  0.010420 -0.287200
     4.000  1.713200  0.010820 -0.286000
     5.000  1.819600  0.011390 -0.284700
     6.000  1.927100  0.011910 -0.283800
     7.000  2.030100  0.012470 -0.282000
     8.000  2.125200  0.013410 -0.278700
     9.000  2.213800  0.014690 -0.274200
    10.000  2.294000  0.016590 -0.268400
    11.000  2.358800  0.019450 -0.259900
    12.000  2.412500  0.022860 -0.249900
    13.000  2.447900  0.027520 -0.237600
    14.000  2.467800  0.033540 -0.224400
    15.000  2.480300  0.040850 -0.212500
    16.000  2.471900  0.051480 -0.202000
    17.000  2.447800  0.066170 -0.195300
    18.000  2.392600  0.088110 -0.194000
    19.000  2.324200  0.113720 -0.197700
    20.000  2.256800  0.139150 -0.205200
    21.000  1.387026  0.217727 -0.212144
    22.000  1.403896  0.240516 -0.219087
    23.000  1.426203  0.263893 -0.226031
    24.000  1.452497  0.287871 -0.232975
    25.000  1.481669  0.312455 -0.239918
    26.000  1.512855  0.337646 -0.246862
    27.000  1.545383  0.363437 -0.253806
    28.000  1.578717  0.389819 -0.260749
    29.000  1.612427  0.416775 -0.267693
    30.000  1.646160  0.444287 -0.274637
