AeroDyn airfoil file Created with QBlade CE v2.0.9.5_beta windows on 15.04.2026 at 11:36:24 Compatible with AeroDyn v13.0.
Polar "S1223_Re0.800_M0.00_N9.0 360 M" on Foil "S1223" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
0.00           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
0.00000        Cn slope for zero lift for linear Cn curve (1/rad)
0.0000         Cn at stall value for positive angle of attack for linear Cn curve
0.0000         Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0000         Minimum CD value
  -180.000 -0.261565  0.006003 -0.107207
  -179.000 -0.160568  0.006524 -0.065490
  -178.000 -0.076599  0.008082 -0.031009
  -177.000 -0.017349  0.010672 -0.006789
  -176.000  0.018449  0.014287  0.007824
  -175.000  0.038795  0.018917  0.016183
  -174.000  0.051839  0.024555  0.021646
  -173.000  0.062617  0.031188  0.026268
  -172.000  0.073323  0.038805  0.030942
  -171.000  0.084541  0.047392  0.035910
  -170.000  0.096147  0.056936  0.041133
  -169.000  0.107787  0.067421  0.046482
  -168.000  0.119079  0.078830  0.051823
  -167.000  0.129691  0.091147  0.057042
  -166.000  0.139352  0.104352  0.062054
  -165.000  0.147857  0.118426  0.066799
  -164.000  0.155050  0.133349  0.071240
  -163.000  0.160823  0.149099  0.075357
  -162.000  0.165101  0.165654  0.079144
  -161.000  0.167838  0.182991  0.082607
  -160.000  0.169010  0.201086  0.085759
  -159.000  0.168614  0.219914  0.088622
  -158.000  0.166663  0.239449  0.091219
  -157.000  0.163180  0.259665  0.093583
  -156.000  0.158204  0.280535  0.095744
  -155.000  0.151781  0.302031  0.097740
  -154.000  0.143967  0.324125  0.099605
  -153.000  0.134824  0.346789  0.101379
  -152.000  0.124422  0.369992  0.103098
  -151.000  0.112838  0.393705  0.104802
  -150.000  0.100151  0.417897  0.106528
  -149.000  0.086446  0.442538  0.108314
  -148.000  0.071814  0.467596  0.110194
  -147.000  0.056346  0.493039  0.112205
  -146.000  0.040139  0.518836  0.114378
  -145.000  0.023288  0.544953  0.116745
  -144.000  0.005896  0.571360  0.119336
  -143.000 -0.011939  0.598022  0.122175
  -142.000 -0.030114  0.624908  0.125288
  -141.000 -0.048527  0.651984  0.128695
  -140.000 -0.067075  0.679216  0.132416
  -139.000 -0.085658  0.706573  0.136465
  -138.000 -0.104173  0.734019  0.140855
  -137.000 -0.122523  0.761524  0.145595
  -136.000 -0.140609  0.789052  0.150693
  -135.000 -0.158336  0.816572  0.156149
  -134.000 -0.175610  0.844049  0.161965
  -133.000 -0.192342  0.871453  0.168137
  -132.000 -0.208444  0.898749  0.174658
  -131.000 -0.223834  0.925906  0.181519
  -130.000 -0.238431  0.952892  0.188707
  -129.000 -0.252162  0.979674  0.196206
  -128.000 -0.264954  1.006222  0.203998
  -127.000 -0.276743  1.032504  0.212063
  -126.000 -0.287467  1.058490  0.220375
  -125.000 -0.297071  1.084149  0.228911
  -124.000 -0.305504  1.109452  0.237641
  -123.000 -0.312722  1.134369  0.246535
  -122.000 -0.318685  1.158871  0.255562
  -121.000 -0.323361  1.182931  0.264688
  -120.000 -0.326722  1.206521  0.273878
  -119.000 -0.328747  1.229613  0.283098
  -118.000 -0.329421  1.252182  0.292309
  -117.000 -0.328735  1.274200  0.301475
  -116.000 -0.326686  1.295644  0.310557
  -115.000 -0.323277  1.316489  0.319519
  -114.000 -0.318517  1.336712  0.328321
  -113.000 -0.312421  1.356288  0.336927
  -112.000 -0.315389  1.375197  0.344142
  -111.000 -0.306881  1.393416  0.352281
  -110.000 -0.297125  1.410926  0.360115
  -109.000 -0.286159  1.427706  0.367610
  -108.000 -0.274025  1.443737  0.374735
  -107.000 -0.260771  1.459002  0.381459
  -106.000 -0.246449  1.473483  0.387751
  -105.000 -0.231116  1.487165  0.393584
  -104.000 -0.214832  1.500031  0.398934
  -103.000 -0.197664  1.512067  0.403777
  -102.000 -0.179680  1.523260  0.408092
  -101.000 -0.160950  1.533597  0.411861
  -100.000 -0.141551  1.543067  0.415069
   -99.000 -0.121559  1.551659  0.417702
   -98.000 -0.101054  1.559363  0.419750
   -97.000 -0.080119  1.566171  0.421204
   -96.000 -0.058836  1.572075  0.422060
   -95.000 -0.037289  1.577068  0.422315
   -94.000 -0.015565  1.581145  0.421970
   -93.000  0.006252  1.584300  0.421027
   -92.000  0.028074  1.586531  0.419492
   -91.000  0.049816  1.587835  0.417373
   -90.000  0.071392  1.588210  0.414682
   -89.000  0.092719  1.587655  0.411430
   -88.000  0.113712  1.586171  0.407633
   -87.000  0.134291  1.583760  0.403310
   -86.000  0.154376  1.580423  0.398478
   -85.000  0.173888  1.576165  0.393161
   -84.000  0.192754  1.570989  0.387382
   -83.000  0.210901  1.564902  0.381164
   -82.000  0.228260  1.557910  0.374536
   -81.000  0.244766  1.550020  0.367524
   -80.000  0.260355  1.541241  0.360158
   -79.000  0.274971  1.531582  0.352467
   -78.000  0.288558  1.521054  0.344482
   -77.000  0.301067  1.509668  0.336234
   -76.000  0.312453  1.497437  0.327756
   -75.000  0.322673  1.484374  0.319078
   -74.000  0.331692  1.470494  0.310234
   -73.000  0.339479  1.455810  0.301255
   -72.000  0.346006  1.440340  0.292172
   -71.000  0.351253  1.424101  0.283018
   -70.000  0.355202  1.407110  0.273822
   -69.000  0.357843  1.389386  0.264616
   -68.000  0.359169  1.370948  0.255427
   -67.000  0.359178  1.351818  0.246284
   -66.000  0.357876  1.332016  0.237215
   -65.000  0.355270  1.311564  0.228244
   -64.000  0.351375  1.290485  0.219398
   -63.000  0.346210  1.268803  0.210697
   -62.000  0.339798  1.246541  0.202164
   -61.000  0.332167  1.223724  0.193820
   -60.000  0.323351  1.200379  0.185681
   -59.000  0.313387  1.176532  0.177765
   -58.000  0.302317  1.152208  0.170087
   -57.000  0.290186  1.127436  0.162659
   -56.000  0.277044  1.102244  0.155493
   -55.000  0.262944  1.076661  0.148599
   -54.000  0.247944  1.050715  0.141983
   -53.000  0.232104  1.024436  0.135652
   -52.000  0.215486  0.997855  0.129610
   -51.000  0.198157  0.971001  0.123860
   -50.000  0.180186  0.943906  0.118402
   -49.000  0.161643  0.916601  0.113235
   -48.000  0.142603  0.889117  0.108358
   -47.000  0.123139  0.861488  0.103765
   -46.000  0.103328  0.833744  0.099452
   -45.000  0.083249  0.805919  0.095412
   -44.000  0.062981  0.778046  0.091637
   -43.000  0.042604  0.750157  0.088118
   -42.000  0.022199  0.722285  0.084845
   -41.000  0.001847  0.694465  0.081806
