AeroDyn airfoil file Created with QBlade CE v2.0.9.5_beta windows on 15.04.2026 at 11:36:24 Compatible with AeroDyn v13.0.
Polar "S1223_Re0.100_M0.00_N9.0 360 M" on Foil "S1223" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
0.00           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
0.00000        Cn slope for zero lift for linear Cn curve (1/rad)
0.0000         Cn at stall value for positive angle of attack for linear Cn curve
0.0000         Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0000         Minimum CD value
  -180.000 -0.153405  0.006000 -0.049859
  -179.000  0.044543  0.006521  0.014485
  -178.000  0.235280  0.008079  0.076234
  -177.000  0.389753  0.010669  0.125987
  -176.000  0.465078  0.014284  0.150006
  -175.000  0.453514  0.018916  0.146024
  -174.000  0.396131  0.024554  0.127461
  -173.000  0.335194  0.031188  0.107964
  -172.000  0.288455  0.038806  0.093209
  -171.000  0.257521  0.047395  0.083675
  -170.000  0.238842  0.056940  0.078203
  -169.000  0.228498  0.067427  0.075530
  -168.000  0.223427  0.078839  0.074680
  -167.000  0.221470  0.091157  0.074973
  -166.000  0.221155  0.104365  0.075951
  -165.000  0.221488  0.118442  0.077314
  -164.000  0.221797  0.133368  0.078862
  -163.000  0.221629  0.149122  0.080470
  -162.000  0.220678  0.165680  0.082057
  -161.000  0.218745  0.183021  0.083576
  -160.000  0.215698  0.201120  0.085003
  -159.000  0.211462  0.219952  0.086330
  -158.000  0.205999  0.239492  0.087561
  -157.000  0.199299  0.259714  0.088707
  -156.000  0.191374  0.280590  0.089787
  -155.000  0.182254  0.302092  0.090823
  -154.000  0.171983  0.324193  0.091839
  -153.000  0.160615  0.346863  0.092863
  -152.000  0.148212  0.370074  0.093924
  -151.000  0.134844  0.393795  0.095051
  -150.000  0.120588  0.417995  0.096273
  -149.000  0.105523  0.442645  0.097620
  -148.000  0.089734  0.467712  0.099119
  -147.000  0.073310  0.493165  0.100798
  -146.000  0.056338  0.518972  0.102684
  -145.000  0.038911  0.545100  0.104801
  -144.000  0.021122  0.571518  0.107173
  -143.000  0.003064  0.598193  0.109820
  -142.000 -0.015171  0.625091  0.112762
  -141.000 -0.033487  0.652180  0.116015
  -140.000 -0.051794  0.679426  0.119595
  -139.000 -0.070000  0.706797  0.123514
  -138.000 -0.088014  0.734259  0.127781
  -137.000 -0.105750  0.761779  0.132403
  -136.000 -0.123121  0.789324  0.137385
  -135.000 -0.140044  0.816861  0.142729
  -134.000 -0.156439  0.844357  0.148435
  -133.000 -0.172230  0.871780  0.154498
  -132.000 -0.187341  0.899096  0.160913
  -131.000 -0.201704  0.926273  0.167671
  -130.000 -0.215253  0.953280  0.174761
  -129.000 -0.227924  0.980085  0.182170
  -128.000 -0.239662  1.006656  0.189881
  -127.000 -0.250413  1.032963  0.197877
  -126.000 -0.260129  1.058974  0.206135
  -125.000 -0.268766  1.084659  0.214636
  -124.000 -0.276286  1.109989  0.223353
  -123.000 -0.282656  1.134934  0.232260
  -122.000 -0.287847  1.159467  0.241330
  -121.000 -0.291836  1.183557  0.250533
  -120.000 -0.294606  1.207178  0.259840
  -119.000 -0.296143  1.230304  0.269217
  -118.000 -0.296441  1.252906  0.278632
  -117.000 -0.295497  1.274961  0.288052
  -116.000 -0.293314  1.296441  0.297444
  -115.000 -0.289900  1.317325  0.306771
  -114.000 -0.285269  1.337586  0.316001
  -113.000 -0.279439  1.357204  0.325097
  -112.000 -0.272432  1.376155  0.334027
  -111.000 -0.264277  1.394418  0.342755
  -110.000 -0.255657  1.411973  0.351186
  -109.000 -0.245291  1.428800  0.359417
  -108.000 -0.233887  1.444880  0.367348
  -107.000 -0.221489  1.460195  0.374949
  -106.000 -0.208146  1.474728  0.382190
  -105.000 -0.193909  1.488464  0.389044
  -104.000 -0.178835  1.501385  0.395483
  -103.000 -0.162981  1.513479  0.401483
  -102.000 -0.146408  1.524732  0.407020
  -101.000 -0.129180  1.535130  0.412073
  -100.000 -0.111364  1.544664  0.416623
   -99.000 -0.093027  1.553321  0.420652
   -98.000 -0.074239  1.561093  0.424146
   -97.000 -0.055072  1.567971  0.427092
   -96.000 -0.035598  1.573947  0.429479
   -95.000 -0.015890  1.579015  0.431299
   -94.000  0.003978  1.583168  0.432545
   -93.000  0.023931  1.586404  0.433215
   -92.000  0.043894  1.588717  0.433307
   -91.000  0.063795  1.590105  0.432823
   -90.000  0.083558  1.590567  0.431765
   -89.000  0.103113  1.590103  0.430140
   -88.000  0.122386  1.588712  0.427955
   -87.000  0.141307  1.586396  0.425220
   -86.000  0.159808  1.583158  0.421948
   -85.000  0.177822  1.579002  0.418153
   -84.000  0.195284  1.573932  0.413851
   -83.000  0.212131  1.567953  0.409061
   -82.000  0.228303  1.561073  0.403801
   -81.000  0.243744  1.553298  0.398094
   -80.000  0.258399  1.544638  0.391961
   -79.000  0.272216  1.535102  0.385429
   -78.000  0.285148  1.524701  0.378520
   -77.000  0.297151  1.513445  0.371264
   -76.000  0.308184  1.501349  0.363686
   -75.000  0.318209  1.488424  0.355815
   -74.000  0.327194  1.474686  0.347681
   -73.000  0.335110  1.460149  0.339312
   -72.000  0.341931  1.444831  0.330738
   -71.000  0.347637  1.428747  0.321990
   -70.000  0.352210  1.411917  0.313098
   -69.000  0.355639  1.394358  0.304091
   -68.000  0.357915  1.376091  0.295000
   -67.000  0.359034  1.357136  0.285853
   -66.000  0.358997  1.337515  0.276680
   -65.000  0.357808  1.317249  0.267510
   -64.000  0.355477  1.296361  0.258369
   -63.000  0.352017  1.274876  0.249284
   -62.000  0.347445  1.252816  0.240281
   -61.000  0.341782  1.230209  0.231385
   -60.000  0.335055  1.207078  0.222618
   -59.000  0.327292  1.183451  0.214004
   -58.000  0.318528  1.159355  0.205561
   -57.000  0.308798  1.134816  0.197310
   -56.000  0.298145  1.109864  0.189268
   -55.000  0.286612  1.084527  0.181452
   -54.000  0.274246  1.058835  0.173875
   -53.000  0.261097  1.032816  0.166550
   -52.000  0.247221  1.006502  0.159488
   -51.000  0.232672  0.979922  0.152699
   -50.000  0.217510  0.953108  0.146190
   -49.000  0.201795  0.926091  0.139966
   -48.000  0.185592  0.898903  0.134031
   -47.000  0.168966  0.871576  0.128389
   -46.000  0.151984  0.844142  0.123038
   -45.000  0.134715  0.816633  0.117979
   -44.000  0.117229  0.789082  0.113207
   -43.000  0.099597  0.761523  0.108719
   -42.000  0.081890  0.733987  0.104509
   -41.000  0.064182  0.706508  0.100569
