Polar "SG6050_Re0.800_M0.00_N9.0 360 M" on Foil "SG6050" :: generated by QBlade
Converted from QBlade export: Polar "SG6050_Re0.800_M0.00_N9.0 360 M" on Foil "SG6050" :: generated by QBlade
line
   1        Number of airfoil tables in this file
   1.0     Reynolds numbers in millions
 0.0      Control setting
 0.0      Stall angle (deg)
 0.0      Zero lift angle of attack (deg)
 0.0      Cn slope for zero lift (dimensionless)
 0.0000      Cn at stall value for positive angle of attack
 0.0000      Cn at stall value for negative angle of attack
 0.0      Angle of attack for minimum CD (deg)
   0.00     Minimum CD value
  -63.00   -0.3972   1.3048   0.3202
  -62.00   -0.4076   1.2814   0.3140
  -61.00   -0.4178   1.2575   0.3078
  -60.00   -0.4278   1.2330   0.3015
  -59.00   -0.4376   1.2080   0.2953
  -58.00   -0.4471   1.1825   0.2890
  -57.00   -0.4564   1.1566   0.2828
  -56.00   -0.4655   1.1302   0.2766
  -55.00   -0.4743   1.1035   0.2704
  -54.00   -0.4829   1.0763   0.2642
  -53.00   -0.4912   1.0489   0.2581
  -52.00   -0.4993   1.0211   0.2521
  -51.00   -0.5070   0.9930   0.2461
  -50.00   -0.5146   0.9647   0.2402
  -49.00   -0.5218   0.9362   0.2344
  -48.00   -0.5288   0.9075   0.2287
  -47.00   -0.5356   0.8786   0.2231
  -46.00   -0.5421   0.8497   0.2176
  -45.00   -0.5483   0.8206   0.2122
  -44.00   -0.5544   0.7915   0.2070
  -43.00   -0.5603   0.7623   0.2018
  -42.00   -0.5660   0.7332   0.1968
  -41.00   -0.5716   0.7040   0.1920
  -40.00   -0.5771   0.6750   0.1874
  -39.00   -0.5826   0.6460   0.1829
  -38.00   -0.5882   0.6171   0.1786
  -37.00   -0.5938   0.5884   0.1745
  -36.00   -0.5997   0.5598   0.1707
  -35.00   -0.6059   0.5314   0.1671
  -34.00   -0.6125   0.5032   0.1637
  -33.00   -0.6197   0.4753   0.1607
  -32.00   -0.6277   0.4476   0.1580
  -31.00   -0.6366   0.4201   0.1557
  -30.00   -0.6467   0.3929   0.1537
  -29.00   -0.6583   0.3661   0.1523
  -28.00   -0.6716   0.3395   0.1513
  -27.00   -0.6870   0.3132   0.1509
  -26.00   -0.7047   0.2873   0.1511
  -25.00   -0.7252   0.2618   0.1360
  -24.00   -0.7487   0.2367   0.1209
  -23.00   -0.7754   0.2120   0.1058
  -22.00   -0.8052   0.1879   0.0908
  -21.00   -0.8381   0.1644   0.0757
  -20.00   -0.8731   0.1418   0.0606
  -19.00   -0.9089   0.1202   0.0456
  -18.00   -0.9434   0.0999   0.0305
  -17.00   -0.9734   0.0814   0.0154
  -16.00   -0.9951   0.0648   0.0004
  -15.00   -1.0041   0.0506   -0.0147
  -14.00   -0.9963   0.0390   -0.0298
  -13.00   -0.9686   0.0300   -0.0449
  -12.00   -0.9199   0.0235   -0.0599
  -11.00   -0.8317   0.0211   -0.0750
  -10.00   -0.7538   0.0169   -0.0716
   -9.00   -0.6533   0.0146   -0.0709
   -8.00   -0.5446   0.0131   -0.0712
   -7.00   -0.4340   0.0114   -0.0723
   -6.00   -0.3179   0.0108   -0.0738
   -5.00   -0.2007   0.0101   -0.0755
   -4.00   -0.0858   0.0086   -0.0776
   -3.00    0.0332   0.0082   -0.0795
   -2.00    0.1531   0.0081   -0.0815
   -1.00    0.2724   0.0080   -0.0834
    0.00    0.3924   0.0080   -0.0855
    1.00    0.5110   0.0079   -0.0874
    2.00    0.6286   0.0078   -0.0894
    3.00    0.7352   0.0072   -0.0884
    4.00    0.8377   0.0075   -0.0863
    5.00    0.9560   0.0080   -0.0886
    6.00    1.0665   0.0087   -0.0894
    7.00    1.1703   0.0098   -0.0891
    8.00    1.2637   0.0114   -0.0871
    9.00    1.3380   0.0136   -0.0820
   10.00    1.3804   0.0167   -0.0718
   11.00    1.4176   0.0210   -0.0635
   12.00    1.4450   0.0267   -0.0564
   13.00    1.4370   0.0363   -0.0487
   14.00    1.4517   0.0447   -0.0446
   15.00    1.4582   0.0551   -0.0421
   16.00    1.4499   0.0683   -0.0414
   17.00    1.4275   0.0838   -0.0427
   18.00    1.3983   0.1014   -0.0462
   19.00    1.3709   0.1196   -0.0517
   20.00    1.3416   0.1386   -0.0596
   21.00    1.3376   0.1652   -0.0738
   22.00    1.3163   0.1875   -0.0879
   23.00    1.2977   0.2106   -0.1021
   24.00    1.2821   0.2347   -0.1163
   25.00    1.2695   0.2595   -0.1305
   26.00    1.2596   0.2850   -0.1446
   27.00    1.2524   0.3112   -0.1588
   28.00    1.2475   0.3379   -0.1730
   29.00    1.2447   0.3652   -0.1871
   30.00    1.2437   0.3930   -0.2013
   31.00    1.2442   0.4212   -0.2155
   32.00    1.2460   0.4498   -0.2297
   33.00    1.2489   0.4788   -0.2438
   34.00    1.2525   0.5082   -0.2580
   35.00    1.2567   0.5379   -0.2722
   36.00    1.2613   0.5678   -0.2770
   37.00    1.2662   0.5981   -0.2820
   38.00    1.2711   0.6285   -0.2872
   39.00    1.2759   0.6592   -0.2924
