SD7062
 1.00000     0.00000
 0.99493     0.00084
 0.98659     0.00237
 0.97726     0.00422
 0.96687     0.00637
 0.95545     0.00880
 0.94313     0.01145
 0.93014     0.01424
 0.91670     0.01713
 0.90294     0.02007
 0.88894     0.02304
 0.87479     0.02605
 0.86055     0.02906
 0.84626     0.03209
 0.83196     0.03512
 0.81766     0.03814
 0.80339     0.04114
 0.78914     0.04413
 0.77494     0.04710
 0.76077     0.05004
 0.74664     0.05295
 0.73256     0.05582
 0.71852     0.05865
 0.70454     0.06143
 0.69060     0.06416
 0.67670     0.06684
 0.66284     0.06946
 0.64901     0.07202
 0.63520     0.07452
 0.62143     0.07695
 0.60768     0.07932
 0.59398     0.08161
 0.58030     0.08383
 0.56665     0.08597
 0.55302     0.08803
 0.53941     0.09001
 0.52582     0.09191
 0.51226     0.09373
 0.49873     0.09545
 0.48524     0.09709
 0.47178     0.09862
 0.45836     0.10006
 0.44496     0.10140
 0.43161     0.10263
 0.41829     0.10375
 0.40501     0.10477
 0.39177     0.10567
 0.37859     0.10646
 0.36546     0.10712
 0.35240     0.10766
 0.33940     0.10807
 0.32647     0.10835
 0.31362     0.10849
 0.30085     0.10849
 0.28816     0.10834
 0.27557     0.10805
 0.26308     0.10760
 0.25071     0.10699
 0.23846     0.10623
 0.22636     0.10530
 0.21442     0.10420
 0.20264     0.10293
 0.19103     0.10148
 0.17962     0.09986
 0.16842     0.09806
 0.15747     0.09608
 0.14678     0.09393
 0.13638     0.09160
 0.12629     0.08911
 0.11655     0.08646
 0.10717     0.08367
 0.09819     0.08074
 0.08965     0.07770
 0.08156     0.07458
 0.07396     0.07140
 0.06686     0.06818
 0.06027     0.06494
 0.05417     0.06172
 0.04857     0.05852
 0.04343     0.05536
 0.03874     0.05227
 0.03446     0.04925
 0.03057     0.04631
 0.02704     0.04346
 0.02385     0.04069
 0.02095     0.03802
 0.01833     0.03543
 0.01596     0.03292
 0.01382     0.03048
 0.01189     0.02813
 0.01015     0.02584
 0.00860     0.02362
 0.00722     0.02147
 0.00599     0.01938
 0.00491     0.01735
 0.00396     0.01538
 0.00314     0.01346
 0.00242     0.01159
 0.00180     0.00977
 0.00127     0.00799
 0.00081     0.00625
 0.00045     0.00455
 0.00018     0.00289
 0.00002     0.00127
-0.00002    -0.00032
 0.00007    -0.00188
 0.00030    -0.00342
 0.00069    -0.00495
 0.00123    -0.00646
 0.00194    -0.00793
 0.00282    -0.00936
 0.00387    -0.01073
 0.00511    -0.01199
 0.00654    -0.01316
 0.00818    -0.01423
 0.01002    -0.01522
 0.01205    -0.01616
 0.01427    -0.01706
 0.01665    -0.01797
 0.01921    -0.01887
 0.02196    -0.01978
 0.02493    -0.02069
 0.02815    -0.02159
 0.03166    -0.02249
 0.03550    -0.02337
 0.03974    -0.02426
 0.04444    -0.02514
 0.04969    -0.02602
 0.05556    -0.02691
 0.06211    -0.02780
 0.06940    -0.02867
 0.07747    -0.02952
 0.08633    -0.03031
 0.09602    -0.03104
 0.10650    -0.03171
 0.11770    -0.03229
 0.12949    -0.03277
 0.14175    -0.03315
 0.15437    -0.03343
 0.16730    -0.03360
 0.18048    -0.03367
 0.19387    -0.03365
 0.20742    -0.03354
 0.22110    -0.03335
 0.23487    -0.03309
 0.24873    -0.03276
 0.26266    -0.03236
 0.27665    -0.03190
 0.29069    -0.03139
 0.30478    -0.03082
 0.31892    -0.03020
 0.33309    -0.02953
 0.34729    -0.02882
 0.36152    -0.02807
 0.37578    -0.02728
 0.39007    -0.02645
 0.40441    -0.02558
 0.41878    -0.02469
 0.43320    -0.02376
 0.44765    -0.02281
 0.46213    -0.02184
 0.47665    -0.02086
 0.49120    -0.01985
 0.50578    -0.01884
 0.52041    -0.01781
 0.53505    -0.01678
 0.54970    -0.01575
 0.56434    -0.01472
 0.57896    -0.01370
 0.59355    -0.01269
 0.60811    -0.01168
 0.62265    -0.01070
 0.63715    -0.00972
 0.65163    -0.00877
 0.66608    -0.00784
 0.68051    -0.00693
 0.69490    -0.00605
 0.70927    -0.00520
 0.72360    -0.00438
 0.73790    -0.00359
 0.75218    -0.00284
 0.76642    -0.00212
 0.78064    -0.00145
 0.79482    -0.00082
 0.80896    -0.00024
 0.82305     0.00030
 0.83707     0.00078
 0.85102     0.00120
 0.86489     0.00157
 0.87865     0.00186
 0.89227     0.00209
 0.90568     0.00224
 0.91882     0.00231
 0.93163     0.00229
 0.94399     0.00217
 0.95580     0.00197
 0.96689     0.00168
 0.97714     0.00133
 0.98647     0.00089
 0.99488     0.00038
 1.00001     0.00000
