S1223
 1.00000     0.00007
 0.99628     0.00311
 0.99109     0.00786
 0.98602     0.01238
 0.98086     0.01645
 0.97539     0.02010
 0.96943     0.02348
 0.96290     0.02674
 0.95573     0.02998
 0.94787     0.03326
 0.93931     0.03659
 0.93001     0.03997
 0.91995     0.04341
 0.90915     0.04690
 0.89766     0.05041
 0.88553     0.05393
 0.87284     0.05744
 0.85968     0.06091
 0.84612     0.06433
 0.83223     0.06769
 0.81806     0.07098
 0.80365     0.07420
 0.78903     0.07734
 0.77425     0.08040
 0.75934     0.08338
 0.74432     0.08628
 0.72920     0.08910
 0.71399     0.09183
 0.69869     0.09449
 0.68333     0.09707
 0.66792     0.09958
 0.65244     0.10200
 0.63689     0.10436
 0.62127     0.10664
 0.60562     0.10886
 0.58993     0.11101
 0.57420     0.11309
 0.55842     0.11511
 0.54260     0.11707
 0.52674     0.11897
 0.51089     0.12080
 0.49509     0.12257
 0.47937     0.12427
 0.46372     0.12588
 0.44818     0.12741
 0.43280     0.12883
 0.41761     0.13015
 0.40261     0.13134
 0.38782     0.13240
 0.37325     0.13331
 0.35896     0.13406
 0.34490     0.13465
 0.33102     0.13506
 0.31732     0.13530
 0.30395     0.13539
 0.29105     0.13529
 0.27860     0.13497
 0.26652     0.13441
 0.25470     0.13361
 0.24306     0.13255
 0.23152     0.13124
 0.22010     0.12969
 0.20883     0.12789
 0.19771     0.12586
 0.18670     0.12358
 0.17578     0.12105
 0.16498     0.11829
 0.15433     0.11532
 0.14390     0.11215
 0.13370     0.10879
 0.12377     0.10526
 0.11417     0.10160
 0.10495     0.09782
 0.09612     0.09393
 0.08771     0.08997
 0.07974     0.08595
 0.07225     0.08193
 0.06524     0.07792
 0.05873     0.07395
 0.05271     0.07003
 0.04716     0.06620
 0.04206     0.06245
 0.03739     0.05881
 0.03313     0.05529
 0.02926     0.05188
 0.02576     0.04858
 0.02259     0.04536
 0.01973     0.04222
 0.01714     0.03916
 0.01481     0.03617
 0.01270     0.03326
 0.01080     0.03041
 0.00909     0.02765
 0.00756     0.02496
 0.00620     0.02236
 0.00500     0.01983
 0.00394     0.01736
 0.00301     0.01496
 0.00222     0.01263
 0.00155     0.01036
 0.00101     0.00815
 0.00058     0.00602
 0.00027     0.00396
 0.00007     0.00195
 0.00000     0.00000
 0.00004    -0.00192
 0.00021    -0.00382
 0.00049    -0.00571
 0.00091    -0.00756
 0.00153    -0.00929
 0.00241    -0.01082
 0.00364    -0.01208
 0.00519    -0.01309
 0.00699    -0.01389
 0.00895    -0.01449
 0.01105    -0.01491
 0.01328    -0.01519
 0.01567    -0.01535
 0.01825    -0.01547
 0.02102    -0.01558
 0.02400    -0.01567
 0.02722    -0.01574
 0.03070    -0.01576
 0.03448    -0.01572
 0.03863    -0.01560
 0.04324    -0.01540
 0.04839    -0.01513
 0.05419    -0.01478
 0.06071    -0.01434
 0.06802    -0.01377
 0.07623    -0.01307
 0.08544    -0.01219
 0.09570    -0.01113
 0.10693    -0.00987
 0.11893    -0.00843
 0.13143    -0.00680
 0.14428    -0.00495
 0.15752    -0.00284
 0.17131    -0.00046
 0.18578     0.00220
 0.20097     0.00508
 0.21673     0.00808
 0.23270     0.01112
 0.24867     0.01414
 0.26458     0.01711
 0.28041     0.02002
 0.29615     0.02286
 0.31180     0.02561
 0.32738     0.02827
 0.34289     0.03084
 0.35835     0.03332
 0.37375     0.03571
 0.38911     0.03799
 0.40442     0.04018
 0.41970     0.04226
 0.43496     0.04423
 0.45019     0.04611
 0.46538     0.04788
 0.48053     0.04953
 0.49564     0.05107
 0.51071     0.05250
 0.52576     0.05381
 0.54079     0.05500
 0.55579     0.05607
 0.57076     0.05702
 0.58570     0.05785
 0.60059     0.05856
 0.61543     0.05913
 0.63022     0.05958
 0.64496     0.05989
 0.65964     0.06007
 0.67427     0.06011
 0.68883     0.06001
 0.70333     0.05977
 0.71775     0.05938
 0.73209     0.05885
 0.74633     0.05817
 0.76044     0.05734
 0.77444     0.05636
 0.78829     0.05522
 0.80201     0.05392
 0.81556     0.05246
 0.82893     0.05085
 0.84207     0.04907
 0.85495     0.04714
 0.86753     0.04506
 0.87979     0.04283
 0.89168     0.04046
 0.90315     0.03796
 0.91414     0.03535
 0.92461     0.03263
 0.93450     0.02983
 0.94381     0.02695
 0.95254     0.02396
 0.96073     0.02087
 0.96844     0.01763
 0.97573     0.01422
 0.98268     0.01060
 0.98937     0.00677
 0.99584     0.00277
 1.00000     0.00007
